"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"dscovr:Lunar_Geolocation:2              dscovr:corrected_rotation_y:1          ","Attribute","corrected_rotation_y","n/a","dscovr"," Corrected Y rotation solution for transformation from ECR coordinates to spacecraft view. See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Lunar_Geolocation:2              dscovr:corrected_rotation_z:1          ","Attribute","corrected_rotation_z","n/a","dscovr"," Corrected Z rotation solution for transformation from ECR coordinates to spacecraft view. See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Lunar_Geolocation:2              dscovr:earth_north_direction:1         ","Attribute","earth_north_direction","n/a","dscovr"," Rotation angle required to rotate image so North is oriented to the top of the image. See the EPIC documentation. ","img","ASCII_Real","0","1","0.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Lunar_Geolocation:2              dscovr:ecliptic_obliquity:1            ","Attribute","ecliptic_obliquity","n/a","dscovr"," Earth's obliquity in the ecliptic. See the EPIC documentation. ","img","ASCII_Real","0","1","0.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Lunar_Geolocation:2              dscovr:image_band:1                    ","Attribute","image_band","n/a","dscovr"," Image band number. See the EPIC documentation. ","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"dscovr:Lunar_Geolocation:2              dscovr:nutation_longitude:1            ","Attribute","nutation_longitude","n/a","dscovr"," Earth's nutation in longitutde. See the EPIC documentation. ","img","ASCII_Real","0","1","0.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Lunar_Geolocation:2              dscovr:nutation_obliquity:1            ","Attribute","nutation_obliquity","n/a","dscovr"," Earth's nutation in obliquity. See the EPIC documentation. ","img","ASCII_Real","0","1","0.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Lunar_Geolocation:2              dscovr:startracker_rotation_x:1        ","Attribute","startracker_rotation_x","n/a","dscovr"," Original startracker X rotation solution for transformation from ECR coordinates to spacecraft view. See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Lunar_Geolocation:2              dscovr:startracker_rotation_y:1        ","Attribute","startracker_rotation_y","n/a","dscovr"," Original startracker Y rotation solution for transformation from ECR coordinates to spacecraft view. See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Lunar_Geolocation:2              dscovr:startracker_rotation_z:1        ","Attribute","startracker_rotation_z","n/a","dscovr"," Original startracker Z rotation solution for transformation from ECR coordinates to spacecraft view. See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Centroid:1                      ","Class","Centroid","1.0.0.0","dscovr"," This class holds centroid information. See the EPIC documentation. ","img","","","","","","","","","","",""
"dscovr:Centroid:2                       dscovr:equatorial_pixel_size:1         ","Attribute","equatorial_pixel_size","n/a","dscovr"," Estimated Earth pixel size at equator (measured in pixels). See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Centroid:2                       dscovr:polar_pixel_size:1              ","Attribute","polar_pixel_size","n/a","dscovr"," Estimated Earth pixel size at poles (measured in pixels). See the EPIC documentation. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"dscovr:Centroid:2                       dscovr:x_pixel_offset:1                ","Attribute","x_pixel_offset","n/a","dscovr"," X offset of center of Earth from center of the image. ","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"dscovr:Centroid:2                       dscovr:y_pixel_offset:1                ","Attribute","y_pixel_offset","n/a","dscovr"," Y offset of center of Earth from center of the image. ","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"dscovr:Ephemeris:1                     ","Class","Ephemeris","1.0.0.0","dscovr"," This class holds ephemeris information. See the EPIC documentation. Note that there can be multiple instances of this class, where the "entity" attribute defines what the ephemeris information applies to. ","img","","","","","","","","","","",""
"dscovr:Ephemeris:2                      dscovr:entity:1                        ","Attribute","entity","n/a","dscovr"," Indicates which entity the enclosing Ephemeris class applies to: Lunar, Solar, or the spacecraft itself (DSCOVR). ","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"dscovr:Ephemeris:2                      dscovr:entity:2                         Value:DSCOVR","Value","DSCOVR","",""," Indicates that the enclosing Ephemeris class applies to the spacecraft itself. "
"dscovr:Ephemeris:2                      dscovr:entity:2                         Value:Lunar","Value","Lunar","",""," Indicates that the enclosing Ephemeris class applies to the moon. "
"dscovr:Ephemeris:2                      dscovr:entity:2                         Value:Solar","Value","Solar","",""," Indicates that the enclosing Ephemeris class applies to the sun. "
"dscovr:Ephemeris:2                      dscovr:apparent_declination:1          ","Attribute","apparent_declination","n/a","dscovr"," Declination corrected for nutation and precession. See the EPIC documentation. ","img","ASCII_Real","0","1","-90.0","90.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Ephemeris:2                      dscovr:apparent_right_ascension:1      ","Attribute","apparent_right_ascension","n/a","dscovr"," Right Ascension corrected for nutation and precession. See the EPIC documentation. ","img","ASCII_Real","0","1","0.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"dscovr:Ephemeris:2                      dscovr:declination:1                   ","Attribute","declination","n/a","dscovr"," Declination angle. See the EPIC documentation. ","img","ASCII_Real","0","1","-90.0","90.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
